numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4
07005;2,02204E+13;102050;50;0;200;1.200000;275.250000;273.750000;90;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;101150;mq;mq;1100;mq;mq;mq;mq;275.950000;mq;mq;3.000000;3.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;7.300000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07015;2,02204E+13;101990;80;1;240;3.400000;277.250000;274.950000;85;31270;0;mq;mq;mq;2;2820;mq;mq;mq;101400;mq;mq;1140;mq;mq;mq;mq;271.150000;mq;mq;3.700000;3.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;0.200000;mq;mq;mq;mq;2;mq;2820;mq;mq;mq;mq;mq;mq;mq;mq;mq
07020;2,02204E+13;102060;10;3;mq;mq;277.750000;273.850000;76;16000;2;0;mq;0;0;mq;30;20;10;101950;mq;mq;940;mq;mq;mq;mq;mq;mq;mq;mq;mq;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.800000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07027;2,02204E+13;102160;20;1;200;1.300000;274.050000;272.550000;90;26220;0;mq;mq;mq;0;mq;mq;mq;mq;101310;mq;mq;1020;mq;mq;mq;mq;278.950000;mq;mq;2.000000;2.800000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07037;2,02204E+13;102160;30;0;190;2.300000;274.450000;271.750000;82;29400;0;mq;mq;mq;0;mq;mq;mq;mq;100190;mq;mq;1060;mq;mq;mq;mq;274.250000;mq;mq;2.600000;2.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07072;2,02204E+13;102170;150;2;330;1.100000;272.950000;271.950000;93;20000;0;mq;mq;mq;0;mq;mq;mq;mq;100970;mq;mq;1240;mq;mq;mq;mq;271.750000;mq;mq;1.400000;1.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;-0.100000;2.200000;2.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07110;2,02204E+13;102020;-60;8;120;2.300000;276.750000;274.150000;83;52030;0;mq;mq;mq;0;mq;mq;mq;mq;100800;mq;mq;440;mq;mq;mq;mq;272.850000;mq;mq;3.000000;4.200000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07117;2,02204E+13;102070;-20;8;140;3.600000;278.850000;274.350000;73;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101350;mq;mq;650;mq;mq;mq;mq;mq;mq;mq;5.600000;5.800000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07130;2,02204E+13;102130;20;0;80;1.500000;276.550000;273.450000;80;28340;0;mq;mq;mq;0;mq;mq;mq;mq;101670;mq;mq;710;mq;mq;mq;mq;272.050000;mq;mq;2.000000;2.300000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07139;2,02204E+13;102210;40;1;320;1.100000;273.750000;272.850000;94;20000;0;mq;mq;mq;0;mq;mq;mq;mq;100390;mq;mq;910;mq;mq;mq;mq;280.850000;mq;mq;1.400000;1.900000;-10;5;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
